fid,receiver_name,installation_type,receiver_status,active,deployment_date,recovery_date,longitude,latitude,park_name,park_type,authority,gaz_date,epbc
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 40,NA,CURTAIN,NA,Inactive,NA,NA,148.82,-40.52,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 41,NA,CURTAIN,NA,Inactive,NA,NA,148.83,-40.52,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF / OTN Cape Barren Island line.IMOS-ATF / OTN Cape Barren Island line.CBL 42,NA,CURTAIN,NA,Inactive,NA,NA,148.83,-40.52,Flinders,Australian Marine Park,DCCEEW,2012-11-17T00:00:00Z,Commonwealth
acoustic_installation_summary_map.Artificial Reefs and Fish Aggregation.Season 2023 - 2024.Freycinet,NA,ARRAY,NA,Inactive,NA,NA,148.48,-42.21,Freycinet,Australian Marine Park,DCCEEW,2007-08-31T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF Heron Island.IMOS-ATF Heron Island.HER 15,NexTrak-R1-801115,ARRAY,NA,Active,2026-05-29T02:05:00Z,NA,151.94,-23.47,Great Barrier Reef,Marine Park,GBRMPA,2004-04-21T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF Heron Island.IMOS-ATF Heron Island.Heron E1,NexTrak-R1-801119,ARRAY,NA,Active,2026-05-28T23:05:00Z,NA,151.99,-23.43,Great Barrier Reef,Marine Park,GBRMPA,2004-04-21T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF Heron Island.IMOS-ATF Heron Island.HER 24,NexTrak-R1-801120,ARRAY,NA,Active,2026-05-26T23:13:00Z,NA,151.98,-23.43,Great Barrier Reef,Marine Park,GBRMPA,2004-04-21T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF One Tree Island.IMOS-ATF One Tree Island.OT 2,NexTrak-R1-801126,ARRAY,NA,Active,2026-05-29T23:05:00Z,NA,152.04,-23.49,Great Barrier Reef,Marine Park,GBRMPA,2004-04-21T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF One Tree Island.IMOS-ATF One Tree Island.OT 5,NexTrak-R1-801127,ARRAY,NA,Active,2026-05-30T02:45:00Z,NA,152.09,-23.51,Great Barrier Reef,Marine Park,GBRMPA,2004-04-21T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF One Tree Island.IMOS-ATF One Tree Island.OT 1,NexTrak-R1-801128,ARRAY,NA,Active,2026-05-30T01:05:00Z,NA,152.04,-23.5,Great Barrier Reef,Marine Park,GBRMPA,2004-04-21T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF One Tree Island.IMOS-ATF One Tree Island.OT 3,NexTrak-R1-801130,ARRAY,NA,Active,2026-05-29T23:52:00Z,NA,152.08,-23.47,Great Barrier Reef,Marine Park,GBRMPA,2004-04-21T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF Heron Island.IMOS-ATF Heron Island.S Heron,NexTrak-R1-801131,ARRAY,NA,Active,2026-05-29T00:59:00Z,NA,151.97,-23.47,Great Barrier Reef,Marine Park,GBRMPA,2004-04-21T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF Heron Island.IMOS-ATF Heron Island.HER 18,NexTrak-R1-801133,ARRAY,NA,Active,2026-05-27T02:38:00Z,NA,151.91,-23.44,Great Barrier Reef,Marine Park,GBRMPA,2004-04-21T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF Heron Island.IMOS-ATF Heron Island.HER 21,NexTrak-R1-802995,ARRAY,NA,Active,2026-05-27T00:36:00Z,NA,151.92,-23.43,Great Barrier Reef,Marine Park,GBRMPA,2004-04-21T00:00:00Z,Commonwealth
acoustic_installation_summary_map.IMOS-ATF One Tree Island.IMOS-ATF One Tree Island.OT 7,NexTrak-R1-802997,ARRAY,NA,Active,2026-05-30T01:55:00Z,NA,152.05,-23.5,Great Barrier Reef,Marine Park,GBRMPA,2004-04-21T00:00:00Z,Commonwealth
